"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 27 07:52:18 GMT 2023","Mon Feb 27 07:52:18 GMT 2023","4","","CalculatorTest","","CalculatorTest","testAddWithNegative","testAddWithNegative()","Description related to testAddWithNegative test"
"passed","Mon Feb 27 07:52:18 GMT 2023","Mon Feb 27 07:52:18 GMT 2023","16","","CalculatorTest","","CalculatorTest","testAdd","testAdd()","Description related to testAdd test"
